team,year,conference,expected_wins,win_pct,recent_win_pct
TCU,2000,Western Athletic,0.0,0.8333333333333334,0.8333333333333334
Temple,2000,Big East,0.0,0.36363636363636365,0.36363636363636365
Tennessee,2000,SEC,0.0,0.6666666666666666,0.6666666666666666
Texas,2000,Big 12,0.0,0.75,0.75
Texas A&M,2000,Big 12,0.0,0.5833333333333334,0.5833333333333334
Texas Tech,2000,Big 12,0.0,0.5384615384615384,0.5384615384615384
Toledo,2000,Mid-American,0.0,0.9090909090909091,0.9090909090909091
Tulane,2000,Conference USA,0.0,0.5454545454545454,0.5454545454545454
Tulsa,2000,Western Athletic,0.0,0.4166666666666667,0.4166666666666667
UAB,2000,Conference USA,0.0,0.6363636363636364,0.6363636363636364
UCF,2000,FBS Independents,0.0,0.6363636363636364,0.6363636363636364
UCLA,2000,Pac-10,0.0,0.5,0.5
UNLV,2000,Mountain West,0.0,0.6153846153846154,0.6153846153846154
USC,2000,Pac-10,0.0,0.4166666666666667,0.4166666666666667
Utah,2000,Mountain West,0.0,0.36363636363636365,0.36363636363636365
Utah State,2000,Big West,0.0,0.45454545454545453,0.45454545454545453
UTEP,2000,Western Athletic,0.0,0.6666666666666666,0.6666666666666666
Vanderbilt,2000,SEC,0.0,0.2727272727272727,0.2727272727272727
Virginia,2000,ACC,0.0,0.5,0.5
Virginia Tech,2000,Big East,0.0,0.9166666666666666,0.9166666666666666
Wake Forest,2000,ACC,0.0,0.18181818181818182,0.18181818181818182
Washington,2000,Pac-10,0.0,0.9166666666666666,0.9166666666666666
Washington State,2000,Pac-10,0.0,0.36363636363636365,0.36363636363636365
Western Michigan,2000,Mid-American,0.0,0.75,0.75
West Virginia,2000,Big East,0.0,0.5833333333333334,0.5833333333333334
Wisconsin,2000,Big Ten,0.0,0.6923076923076923,0.6923076923076923
Wyoming,2000,Mountain West,0.0,0.09090909090909091,0.09090909090909091
Air Force,2001,Mountain West,0.0,0.5,0.625
Akron,2001,Mid-American,0.0,0.36363636363636365,0.45454545454545453
Alabama,2001,SEC,0.0,0.5833333333333334,0.43478260869565216
Arizona,2001,Pac-10,0.0,0.45454545454545453,0.45454545454545453
Arizona State,2001,Pac-10,0.0,0.36363636363636365,0.43478260869565216
Arkansas,2001,SEC,0.0,0.5833333333333334,0.5416666666666666
Arkansas State,2001,Sun Belt,0.0,0.18181818181818182,0.13636363636363635
Army,2001,Conference USA,0.0,0.2727272727272727,0.18181818181818182
Auburn,2001,SEC,0.0,0.5833333333333334,0.64
Ball State,2001,Mid-American,0.0,0.45454545454545453,0.45454545454545453
Baylor,2001,Big 12,0.0,0.2727272727272727,0.22727272727272727
Boise State,2001,Western Athletic,0.0,0.6666666666666666,0.75
Boston College,2001,Big East,0.0,0.6666666666666666,0.625
Bowling Green,2001,Mid-American,0.0,0.7272727272727273,0.45454545454545453
Buffalo,2001,Mid-American,0.0,0.2727272727272727,0.22727272727272727
BYU,2001,Mountain West,0.0,0.8571428571428571,0.6923076923076923
California,2001,Pac-10,0.0,0.09090909090909091,0.18181818181818182
Central Michigan,2001,Mid-American,0.0,0.2727272727272727,0.22727272727272727
Cincinnati,2001,Conference USA,0.0,0.5833333333333334,0.5833333333333334
Clemson,2001,ACC,0.0,0.5833333333333334,0.6666666666666666
Colorado,2001,Big 12,0.0,0.7692307692307693,0.5416666666666666
Colorado State,2001,Mountain West,0.0,0.5833333333333334,0.7083333333333334
Connecticut,2001,FBS Independents,0.0,0.18181818181818182,0.22727272727272727
Duke,2001,ACC,0.0,0.0,0.0
East Carolina,2001,Conference USA,0.0,0.5,0.5833333333333334
Eastern Michigan,2001,Mid-American,0.0,0.18181818181818182,0.22727272727272727
Florida,2001,SEC,0.0,0.8333333333333334,0.8
Florida State,2001,ACC,0.0,0.6666666666666666,0.76
Fresno State,2001,Western Athletic,0.0,0.7857142857142857,0.6923076923076923
Georgia,2001,SEC,0.0,0.6666666666666666,0.6666666666666666
Georgia Tech,2001,ACC,0.0,0.6153846153846154,0.68
Hawai'i,2001,Western Athletic,0.0,0.75,0.5
Houston,2001,Conference USA,0.0,0.0,0.13636363636363635
Illinois,2001,Big Ten,0.0,0.8333333333333334,0.6521739130434783
Indiana,2001,Big Ten,0.0,0.45454545454545453,0.36363636363636365
Iowa,2001,Big Ten,0.0,0.5833333333333334,0.4166666666666667
Iowa State,2001,Big 12,0.0,0.5833333333333334,0.6666666666666666
Kansas,2001,Big 12,0.0,0.2727272727272727,0.3181818181818182
Kansas State,2001,Big 12,0.0,0.5,0.6538461538461539
Kent State,2001,Mid-American,0.0,0.5454545454545454,0.3181818181818182
Kentucky,2001,SEC,0.0,0.18181818181818182,0.18181818181818182
Louisiana,2001,Sun Belt,0.0,0.2727272727272727,0.18181818181818182
Louisiana Monroe,2001,Sun Belt,0.0,0.18181818181818182,0.13636363636363635
Louisiana Tech,2001,Western Athletic,0.0,0.5833333333333334,0.4166666666666667
Louisville,2001,Conference USA,0.0,0.8461538461538461,0.8
LSU,2001,SEC,0.0,0.7692307692307693,0.72
Marshall,2001,Mid-American,0.0,0.8461538461538461,0.7307692307692307
Maryland,2001,ACC,0.0,0.8333333333333334,0.6521739130434783
Memphis,2001,Conference USA,0.0,0.45454545454545453,0.4090909090909091
Miami,2001,Big East,0.0,1.0,0.9583333333333334
Miami (OH),2001,Mid-American,0.0,0.5833333333333334,0.5652173913043478
Michigan,2001,Big Ten,0.0,0.6666666666666666,0.7083333333333334
Michigan State,2001,Big Ten,0.0,0.5833333333333334,0.5217391304347826
Middle Tennessee,2001,Sun Belt,0.0,0.7272727272727273,0.6363636363636364
Minnesota,2001,Big Ten,0.0,0.36363636363636365,0.43478260869565216
Mississippi State,2001,SEC,0.0,0.2727272727272727,0.4782608695652174
Missouri,2001,Big 12,0.0,0.36363636363636365,0.3181818181818182
Navy,2001,FBS Independents,0.0,0.0,0.047619047619047616
NC State,2001,ACC,0.0,0.5833333333333334,0.625
Nebraska,2001,Big 12,0.0,0.8461538461538461,0.84
Nevada,2001,Western Athletic,0.0,0.2727272727272727,0.21739130434782608
New Mexico,2001,Mountain West,0.0,0.5454545454545454,0.4782608695652174
New Mexico State,2001,Sun Belt,0.0,0.4166666666666667,0.34782608695652173
North Carolina,2001,ACC,0.0,0.6153846153846154,0.5833333333333334
Northern Illinois,2001,Mid-American,0.0,0.5454545454545454,0.5454545454545454
North Texas,2001,Sun Belt,0.0,0.4166666666666667,0.34782608695652173
Northwestern,2001,Big Ten,0.0,0.36363636363636365,0.5217391304347826
Notre Dame,2001,FBS Independents,0.0,0.45454545454545453,0.6086956521739131
Ohio,2001,Mid-American,0.0,0.09090909090909091,0.36363636363636365
Ohio State,2001,Big Ten,0.0,0.5833333333333334,0.625
Oklahoma,2001,Big 12,0.0,0.8461538461538461,0.9230769230769231
Oklahoma State,2001,Big 12,0.0,0.36363636363636365,0.3181818181818182
Ole Miss,2001,SEC,0.0,0.6363636363636364,0.6086956521739131
Oregon,2001,Pac-10,0.0,0.9166666666666666,0.875
Oregon State,2001,Pac-10,0.0,0.45454545454545453,0.6956521739130435
Penn State,2001,Big Ten,0.0,0.45454545454545453,0.43478260869565216
Pittsburgh,2001,Big East,0.0,0.5833333333333334,0.5833333333333334
Purdue,2001,Big Ten,0.0,0.5,0.5833333333333334
Rice,2001,Western Athletic,0.0,0.6666666666666666,0.4782608695652174
Rutgers,2001,Big East,0.0,0.18181818181818182,0.22727272727272727
San Diego State,2001,Mountain West,0.0,0.2727272727272727,0.2727272727272727
San José State,2001,Western Athletic,0.0,0.25,0.4166666666666667
SMU,2001,Western Athletic,0.0,0.36363636363636365,0.30434782608695654
South Carolina,2001,SEC,0.0,0.75,0.7083333333333334
Southern Mississippi,2001,Conference USA,0.0,0.5454545454545454,0.6086956521739131
South Florida,2001,FBS Independents,0.0,0.7272727272727273,0.6818181818181818
Stanford,2001,Pac-10,0.0,0.75,0.6086956521739131
Syracuse,2001,Big East,0.0,0.7692307692307693,0.6666666666666666
TCU,2001,Conference USA,0.0,0.5,0.6666666666666666
Temple,2001,Big East,0.0,0.36363636363636365,0.36363636363636365
Tennessee,2001,SEC,0.0,0.8461538461538461,0.76
Texas,2001,Big 12,0.0,0.8461538461538461,0.8
Texas A&M,2001,Big 12,0.0,0.6666666666666666,0.625
Texas Tech,2001,Big 12,0.0,0.5833333333333334,0.56
Toledo,2001,Mid-American,0.0,0.8333333333333334,0.8695652173913043
Troy,2001,FBS Independents,0.0,0.6363636363636364,0.6363636363636364
Tulane,2001,Conference USA,0.0,0.25,0.391304347826087
Tulsa,2001,Western Athletic,0.0,0.09090909090909091,0.2608695652173913
UAB,2001,Conference USA,0.0,0.5454545454545454,0.5909090909090909
UCF,2001,FBS Independents,0.0,0.5454545454545454,0.5909090909090909
UCLA,2001,Pac-10,0.0,0.6363636363636364,0.5652173913043478
UNLV,2001,Mountain West,0.0,0.36363636363636365,0.5
USC,2001,Pac-10,0.0,0.5,0.4583333333333333
Utah,2001,Mountain West,0.0,0.6666666666666666,0.5217391304347826
Utah State,2001,FBS Independents,0.0,0.36363636363636365,0.4090909090909091
UTEP,2001,Western Athletic,0.0,0.18181818181818182,0.43478260869565216
Vanderbilt,2001,SEC,0.0,0.18181818181818182,0.22727272727272727
Virginia,2001,ACC,0.0,0.4166666666666667,0.4583333333333333
Virginia Tech,2001,Big East,0.0,0.6666666666666666,0.7916666666666666
Wake Forest,2001,ACC,0.0,0.5454545454545454,0.36363636363636365
Washington,2001,Pac-10,0.0,0.6666666666666666,0.7916666666666666
Washington State,2001,Pac-10,0.0,0.8333333333333334,0.6086956521739131
Western Michigan,2001,Mid-American,0.0,0.45454545454545453,0.6086956521739131
West Virginia,2001,Big East,0.0,0.2727272727272727,0.43478260869565216
Wisconsin,2001,Big Ten,0.0,0.4166666666666667,0.56
Wyoming,2001,Mountain West,0.0,0.18181818181818182,0.13636363636363635
Air Force,2002,Mountain West,0.0,0.6153846153846154,0.6216216216216216
Akron,2002,Mid-American,0.0,0.3333333333333333,0.4117647058823529
Alabama,2002,SEC,0.0,0.7692307692307693,0.5555555555555556
Arizona,2002,Pac-10,0.0,0.3333333333333333,0.4117647058823529
Arizona State,2002,Pac-10,0.0,0.5714285714285714,0.4864864864864865
Arkansas,2002,SEC,0.0,0.6428571428571429,0.5789473684210527
Arkansas State,2002,Sun Belt,0.0,0.46153846153846156,0.2571428571428571
Army,2002,Conference USA,0.0,0.08333333333333333,0.14705882352941177
Auburn,2002,SEC,0.0,0.6923076923076923,0.6578947368421053
Ball State,2002,Mid-American,0.0,0.5,0.47058823529411764
Baylor,2002,Big 12,0.0,0.25,0.23529411764705882
Boise State,2002,Western Athletic,0.0,0.9230769230769231,0.8108108108108109
Boston College,2002,Big East,0.0,0.6923076923076923,0.6486486486486487
Bowling Green,2002,Mid-American,0.0,0.75,0.5588235294117647
Buffalo,2002,Mid-American,0.0,0.08333333333333333,0.17647058823529413
BYU,2002,Mountain West,0.0,0.4166666666666667,0.6052631578947368
California,2002,Pac-10,0.0,0.5833333333333334,0.3235294117647059
Central Michigan,2002,Mid-American,0.0,0.3333333333333333,0.2647058823529412
Cincinnati,2002,Conference USA,0.0,0.5,0.5526315789473685
Clemson,2002,ACC,0.0,0.5384615384615384,0.6216216216216216
Colorado,2002,Big 12,0.0,0.6428571428571429,0.5789473684210527
Colorado State,2002,Mountain West,0.0,0.7142857142857143,0.7105263157894737
Connecticut,2002,FBS Independents,0.0,0.5,0.3235294117647059
Duke,2002,ACC,0.0,0.16666666666666666,0.058823529411764705
East Carolina,2002,Conference USA,0.0,0.3333333333333333,0.5
Eastern Michigan,2002,Mid-American,0.0,0.25,0.23529411764705882
Florida,2002,SEC,0.0,0.6153846153846154,0.7368421052631579
Florida State,2002,ACC,0.0,0.6428571428571429,0.717948717948718
Fresno State,2002,Western Athletic,0.0,0.6428571428571429,0.675
Georgia,2002,SEC,0.0,0.9285714285714286,0.7631578947368421
Georgia Tech,2002,ACC,0.0,0.5384615384615384,0.631578947368421
Hawai'i,2002,Western Athletic,0.0,0.7142857142857143,0.5789473684210527
Houston,2002,Conference USA,0.0,0.4166666666666667,0.23529411764705882
Illinois,2002,Big Ten,0.0,0.4166666666666667,0.5714285714285714
Indiana,2002,Big Ten,0.0,0.25,0.3235294117647059
Iowa,2002,Big Ten,0.0,0.8461538461538461,0.5675675675675675
Iowa State,2002,Big 12,0.0,0.5,0.6052631578947368
Kansas,2002,Big 12,0.0,0.16666666666666666,0.2647058823529412
Kansas State,2002,Big 12,0.0,0.8461538461538461,0.717948717948718
Kent State,2002,Mid-American,0.0,0.25,0.29411764705882354
Kentucky,2002,SEC,0.0,0.5833333333333334,0.3235294117647059
Louisiana,2002,Sun Belt,0.0,0.25,0.20588235294117646
Louisiana Monroe,2002,Sun Belt,0.0,0.25,0.17647058823529413
Louisiana Tech,2002,Western Athletic,0.0,0.3333333333333333,0.3888888888888889
Louisville,2002,Conference USA,0.0,0.5384615384615384,0.7105263157894737
LSU,2002,SEC,0.0,0.6153846153846154,0.6842105263157895
Marshall,2002,Mid-American,0.0,0.8461538461538461,0.7692307692307693
Maryland,2002,ACC,0.0,0.7857142857142857,0.7027027027027027
Memphis,2002,Conference USA,0.0,0.25,0.35294117647058826
Miami,2002,Big East,0.0,0.9230769230769231,0.9459459459459459
Miami (OH),2002,Mid-American,0.0,0.5833333333333334,0.5714285714285714
Michigan,2002,Big Ten,0.0,0.7692307692307693,0.7297297297297297
Michigan State,2002,Big Ten,0.0,0.3333333333333333,0.45714285714285713
Middle Tennessee,2002,Sun Belt,0.0,0.3333333333333333,0.5294117647058824
Minnesota,2002,Big Ten,0.0,0.6153846153846154,0.5
Mississippi State,2002,SEC,0.0,0.25,0.4
Missouri,2002,Big 12,0.0,0.4166666666666667,0.35294117647058826
Navy,2002,FBS Independents,0.0,0.16666666666666666,0.09090909090909091
NC State,2002,ACC,0.0,0.7857142857142857,0.6842105263157895
Nebraska,2002,Big 12,0.0,0.5,0.717948717948718
Nevada,2002,Western Athletic,0.0,0.4166666666666667,0.2857142857142857
New Mexico,2002,Mountain West,0.0,0.5,0.4864864864864865
New Mexico State,2002,Sun Belt,0.0,0.5833333333333334,0.42857142857142855
North Carolina,2002,ACC,0.0,0.25,0.4722222222222222
Northern Illinois,2002,Mid-American,0.0,0.6666666666666666,0.5882352941176471
North Texas,2002,Sun Belt,0.0,0.6153846153846154,0.4444444444444444
Northwestern,2002,Big Ten,0.0,0.25,0.42857142857142855
Notre Dame,2002,FBS Independents,0.0,0.7692307692307693,0.6666666666666666
Ohio,2002,Mid-American,0.0,0.3333333333333333,0.35294117647058826
Ohio State,2002,Big Ten,0.0,1.0,0.7631578947368421
Oklahoma,2002,Big 12,0.0,0.8571428571428571,0.9
Oklahoma State,2002,Big 12,0.0,0.6153846153846154,0.42857142857142855
Ole Miss,2002,SEC,0.0,0.5384615384615384,0.5833333333333334
Oregon,2002,Pac-10,0.0,0.5384615384615384,0.7567567567567568
Oregon State,2002,Pac-10,0.0,0.6153846153846154,0.6666666666666666
Penn State,2002,Big Ten,0.0,0.6923076923076923,0.5277777777777778
Pittsburgh,2002,Big East,0.0,0.6923076923076923,0.6216216216216216
Purdue,2002,Big Ten,0.0,0.5384615384615384,0.5675675675675675
Rice,2002,Western Athletic,0.0,0.36363636363636365,0.4411764705882353
Rutgers,2002,Big East,0.0,0.08333333333333333,0.17647058823529413
San Diego State,2002,Mountain West,0.0,0.3076923076923077,0.2857142857142857
San José State,2002,Western Athletic,0.0,0.46153846153846156,0.43243243243243246
SMU,2002,Western Athletic,0.0,0.25,0.2857142857142857
South Carolina,2002,SEC,0.0,0.4166666666666667,0.6111111111111112
Southern Mississippi,2002,Conference USA,0.0,0.5384615384615384,0.5833333333333334
South Florida,2002,FBS Independents,0.0,0.8181818181818182,0.7272727272727273
Stanford,2002,Pac-10,0.0,0.18181818181818182,0.47058823529411764
Syracuse,2002,Big East,0.0,0.3333333333333333,0.5555555555555556
TCU,2002,Conference USA,0.0,0.8333333333333334,0.7222222222222222
Temple,2002,Big East,0.0,0.3333333333333333,0.35294117647058826
Tennessee,2002,SEC,0.0,0.6153846153846154,0.7105263157894737
Texas,2002,Big 12,0.0,0.8461538461538461,0.8157894736842105
Texas A&M,2002,Big 12,0.0,0.5,0.5833333333333334
Texas Tech,2002,Big 12,0.0,0.6428571428571429,0.5897435897435898
Toledo,2002,Mid-American,0.0,0.6428571428571429,0.7837837837837838
Troy,2002,FBS Independents,0.0,0.3333333333333333,0.4782608695652174
Tulane,2002,Conference USA,0.0,0.6153846153846154,0.4722222222222222
Tulsa,2002,Western Athletic,0.0,0.08333333333333333,0.2
UAB,2002,Conference USA,0.0,0.4166666666666667,0.5294117647058824
UCF,2002,Mid-American,0.0,0.5833333333333334,0.5882352941176471
UCLA,2002,Pac-10,0.0,0.6153846153846154,0.5833333333333334
UNLV,2002,Mountain West,0.0,0.4166666666666667,0.4722222222222222
USC,2002,Pac-10,0.0,0.8461538461538461,0.5945945945945946
Utah,2002,Mountain West,0.0,0.45454545454545453,0.5
Utah State,2002,FBS Independents,0.0,0.36363636363636365,0.3939393939393939
UTEP,2002,Western Athletic,0.0,0.16666666666666666,0.34285714285714286
Vanderbilt,2002,SEC,0.0,0.16666666666666666,0.20588235294117646
Virginia,2002,ACC,0.0,0.6428571428571429,0.5263157894736842
Virginia Tech,2002,Big East,0.0,0.7142857142857143,0.7631578947368421
Wake Forest,2002,ACC,0.0,0.5384615384615384,0.42857142857142855
Washington,2002,Pac-10,0.0,0.5384615384615384,0.7027027027027027
Washington State,2002,Pac-10,0.0,0.7692307692307693,0.6666666666666666
Western Michigan,2002,Mid-American,0.0,0.3333333333333333,0.5142857142857142
West Virginia,2002,Big East,0.0,0.6923076923076923,0.5277777777777778
Wisconsin,2002,Big Ten,0.0,0.5714285714285714,0.5641025641025641
Wyoming,2002,Mountain West,0.0,0.16666666666666666,0.14705882352941177
Air Force,2003,Mountain West,0.0,0.5833333333333334,0.6122448979591837
Akron,2003,Mid-American,0.0,0.5833333333333334,0.45652173913043476
Alabama,2003,SEC,0.0,0.3076923076923077,0.4897959183673469
Arizona,2003,Pac-10,0.0,0.16666666666666666,0.34782608695652173
Arizona State,2003,Pac-10,0.0,0.4166666666666667,0.46938775510204084
Arkansas,2003,SEC,0.0,0.6923076923076923,0.6078431372549019
Arkansas State,2003,Sun Belt,0.0,0.4166666666666667,0.2978723404255319
Army,2003,Conference USA,0.0,0.0,0.10638297872340426
Auburn,2003,SEC,0.0,0.6153846153846154,0.6470588235294118
Ball State,2003,Mid-American,0.0,0.3333333333333333,0.43478260869565216
Baylor,2003,Big 12,0.0,0.25,0.2391304347826087
Boise State,2003,Western Athletic,0.0,0.9285714285714286,0.8431372549019608
Boston College,2003,Big East,0.0,0.6153846153846154,0.64
Bowling Green,2003,Mid-American,0.0,0.7857142857142857,0.625
Buffalo,2003,Mid-American,0.0,0.08333333333333333,0.15217391304347827
BYU,2003,Mountain West,0.0,0.3333333333333333,0.54
California,2003,Pac-10,0.0,0.5714285714285714,0.3958333333333333
Central Michigan,2003,Mid-American,0.0,0.25,0.2608695652173913
Cincinnati,2003,Conference USA,0.0,0.4166666666666667,0.52
Clemson,2003,ACC,0.0,0.6923076923076923,0.64
Colorado,2003,Big 12,0.0,0.4166666666666667,0.54
Colorado State,2003,Mountain West,0.0,0.5384615384615384,0.6666666666666666
Connecticut,2003,FBS Independents,0.0,0.75,0.43478260869565216
Duke,2003,ACC,0.0,0.3333333333333333,0.13043478260869565
East Carolina,2003,Conference USA,0.0,0.08333333333333333,0.3958333333333333
Eastern Michigan,2003,Mid-American,0.0,0.25,0.2391304347826087
Florida,2003,SEC,0.0,0.6153846153846154,0.7058823529411765
Florida State,2003,ACC,0.0,0.7692307692307693,0.7307692307692307
Fresno State,2003,Western Athletic,0.0,0.6428571428571429,0.6666666666666666
Georgia,2003,SEC,0.0,0.7857142857142857,0.7692307692307693
Georgia Tech,2003,ACC,0.0,0.5384615384615384,0.6078431372549019
Hawai'i,2003,Western Athletic,0.0,0.6428571428571429,0.5961538461538461
Houston,2003,Conference USA,0.0,0.5384615384615384,0.3191489361702128
Illinois,2003,Big Ten,0.0,0.08333333333333333,0.44680851063829785
Indiana,2003,Big Ten,0.0,0.16666666666666666,0.2826086956521739
Iowa,2003,Big Ten,0.0,0.7692307692307693,0.62
Iowa State,2003,Big 12,0.0,0.16666666666666666,0.5
Kansas,2003,Big 12,0.0,0.46153846153846156,0.3191489361702128
Kansas State,2003,Big 12,0.0,0.7333333333333333,0.7222222222222222
Kent State,2003,Mid-American,0.0,0.4166666666666667,0.32608695652173914
Kentucky,2003,SEC,0.0,0.3333333333333333,0.32608695652173914
Louisiana,2003,Sun Belt,0.0,0.3333333333333333,0.2391304347826087
Louisiana Monroe,2003,Sun Belt,0.0,0.08333333333333333,0.15217391304347827
Louisiana Tech,2003,Western Athletic,0.0,0.4166666666666667,0.3958333333333333
Louisville,2003,Conference USA,0.0,0.6923076923076923,0.7058823529411765
LSU,2003,SEC,0.0,0.9285714285714286,0.75
Marshall,2003,Mid-American,0.0,0.6666666666666666,0.7450980392156863
Maryland,2003,ACC,0.0,0.7692307692307693,0.72
Memphis,2003,Conference USA,0.0,0.6923076923076923,0.44680851063829785
Miami,2003,Big East,0.0,0.8461538461538461,0.92
Miami (OH),2003,Mid-American,0.0,0.9285714285714286,0.673469387755102
Michigan,2003,Big Ten,0.0,0.7692307692307693,0.74
Michigan State,2003,Big Ten,0.0,0.6153846153846154,0.5
Middle Tennessee,2003,Sun Belt,0.0,0.3333333333333333,0.4782608695652174
Minnesota,2003,Big Ten,0.0,0.7692307692307693,0.5714285714285714
