team,year,rank,points
Northwestern,2004,90,82.28
Nevada,2004,91,81.94
Ohio,2004,92,80.84
Baylor,2004,93,80.82
San José State,2004,94,79.57
Idaho,2004,95,79.45
Louisiana Tech,2004,96,78.11
Louisiana,2004,97,77.34
Ball State,2004,98,76.9
New Mexico State,2004,99,76.58
Louisiana Monroe,2004,100,76.25
Akron,2004,101,75.91
Wake Forest,2004,102,75.52
UCF,2004,103,73.92
Cincinnati,2004,104,72.99
Eastern Michigan,2004,105,72.7
Fresno State,2004,106,72.67
Central Michigan,2004,107,72.4
Miami (OH),2004,108,72.08
Buffalo,2004,109,72.05
Rice,2004,110,69.01
Kent State,2004,111,67.72
UTEP,2004,112,58.88
Navy,2004,113,41.52
Iowa,2004,114,35.7
Army,2004,115,30.13
Air Force,2004,116,21.9
Florida Atlantic,2004,117,15.54
Southern Illinois,2004,118,13.29
San Diego,2004,119,6.67
Florida International,2004,120,4.44
USC,2005,1,285.12
Florida State,2005,2,281.52
Oklahoma,2005,3,279.2
Tennessee,2005,4,276.14
Michigan,2005,5,266.54
Iowa,2005,6,252.89
Georgia,2005,7,248.26
Nebraska,2005,8,247.47
Miami,2005,9,246.36
California,2005,10,241.37
Texas A&M,2005,11,235.38
Florida,2005,12,220.98
Texas,2005,13,218.62
LSU,2005,14,218.34
Clemson,2005,15,217.21
Alabama,2005,16,216.52
Virginia,2005,17,211.72
South Carolina,2005,18,210.9
Auburn,2005,19,209.75
Virginia Tech,2005,20,209.67
UCLA,2005,21,209.07
Maryland,2005,22,206.08
Arizona,2005,23,204.44
Stanford,2005,24,200.1
Penn State,2005,25,195.18
Arkansas,2005,26,192.49
Purdue,2005,27,188.81
Mississippi State,2005,28,188.28
NC State,2005,29,187.69
Wisconsin,2005,30,187.47
Oregon,2005,31,184.71
Ole Miss,2005,32,183.26
Arizona State,2005,33,180.3
Michigan State,2005,34,178.54
Kansas State,2005,35,177.71
Louisville,2005,36,176.69
West Virginia,2005,37,172.44
Texas Tech,2005,38,172.32
Notre Dame,2005,39,166.05
Colorado,2005,40,165.97
Kansas,2005,41,164.63
Missouri,2005,42,164.44
Washington State,2005,43,162.68
San Diego State,2005,44,160.86
Oregon State,2005,45,159.77
Pittsburgh,2005,46,158.2
Oklahoma State,2005,47,157.39
Illinois,2005,48,156.4
North Carolina,2005,49,153.2
TCU,2005,50,152.76
Iowa State,2005,51,151.53
Boston College,2005,52,146.65
Minnesota,2005,53,142.28
Northwestern,2005,54,141.34
Duke,2005,55,140.17
South Florida,2005,56,130.19
Utah,2005,57,128.26
Tulsa,2005,58,126.2
Rutgers,2005,59,125.44
Baylor,2005,60,125.15
BYU,2005,61,123.25
Boise State,2005,62,122.57
SMU,2005,63,122.19
Syracuse,2005,64,122.04
Wake Forest,2005,65,119.7
Southern Mississippi,2005,66,117.82
UCF,2005,67,115.27
Washington,2005,68,114.56
Connecticut,2005,69,114.29
Georgia Tech,2005,70,114.18
UTEP,2005,71,112.64
Hawai'i,2005,72,112.61
UAB,2005,73,110.09
Ohio State,2005,74,109.84
Marshall,2005,75,106.85
UNLV,2005,76,104.85
Northern Illinois,2005,77,103.92
Indiana,2005,78,103.16
Houston,2005,79,102.37
Fresno State,2005,80,100.59
Western Michigan,2005,81,95.69
Louisiana,2005,82,94.87
Memphis,2005,83,94.57
Colorado State,2005,84,94.42
Cincinnati,2005,85,93.59
Middle Tennessee,2005,86,92.75
New Mexico,2005,87,91.3
Akron,2005,88,88.92
Vanderbilt,2005,89,88.91
Troy,2005,90,86.53
Louisiana Tech,2005,91,85.65
Nevada,2005,92,83.33
Tulane,2005,93,82.95
Rice,2005,94,81.71
Bowling Green,2005,95,77.41
Buffalo,2005,96,75.75
Idaho,2005,97,72.1
North Texas,2005,98,72.06
Miami (OH),2005,99,70.84
Ball State,2005,100,70.61
Toledo,2005,101,70.41
Ohio,2005,102,68.71
Kent State,2005,103,65.23
Central Michigan,2005,104,64.54
Arkansas State,2005,105,61.04
Wyoming,2005,106,58.87
Louisiana Monroe,2005,107,55.67
Temple,2005,108,53.0
East Carolina,2005,109,47.3
San José State,2005,110,44.52
Utah State,2005,111,41.79
Air Force,2005,112,41.08
Navy,2005,113,29.17
Florida Atlantic,2005,114,28.65
Eastern Michigan,2005,115,28.36
Florida International,2005,116,26.01
New Mexico State,2005,117,19.8
Army,2005,118,8.82
USC,2006,1,316.97
Florida,2006,2,294.83
Georgia,2006,3,292.15
Florida State,2006,4,286.53
Notre Dame,2006,5,282.8
Texas,2006,6,281.78
Penn State,2006,7,270.41
LSU,2006,8,269.92
Oklahoma,2006,9,262.96
Michigan,2006,10,256.69
Auburn,2006,11,245.54
Miami,2006,12,237.13
Alabama,2006,13,233.66
Clemson,2006,14,232.26
Ole Miss,2006,15,231.94
Pittsburgh,2006,16,229.68
Texas A&M,2006,17,215.25
Oklahoma State,2006,18,213.74
Arizona,2006,19,213.58
California,2006,20,212.65
Nebraska,2006,21,207.2
Arkansas,2006,22,204.67
Maryland,2006,23,202.78
Louisville,2006,24,201.32
Ohio State,2006,25,198.91
North Carolina,2006,26,197.92
Illinois,2006,27,193.1
Texas Tech,2006,28,192.05
Tennessee,2006,29,191.71
Arizona State,2006,30,188.18
Virginia Tech,2006,31,185.47
Washington,2006,32,183.52
South Carolina,2006,33,182.76
Oregon State,2006,34,180.86
Boston College,2006,35,179.61
Wisconsin,2006,36,177.1
Iowa,2006,37,174.47
Rutgers,2006,38,170.43
Kansas,2006,39,169.98
Mississippi State,2006,40,168.98
Kansas State,2006,41,168.16
Iowa State,2006,42,164.57
Missouri,2006,43,162.96
Michigan State,2006,44,162.06
Washington State,2006,45,161.64
UAB,2006,46,155.39
Colorado,2006,47,155.35
NC State,2006,48,154.99
Baylor,2006,49,154.18
Oregon,2006,50,152.98
Duke,2006,51,152.48
South Florida,2006,52,152.47
Purdue,2006,53,151.9
Vanderbilt,2006,54,150.75
Syracuse,2006,55,150.59
Utah,2006,56,147.87
UCLA,2006,57,145.04
TCU,2006,58,143.23
Minnesota,2006,59,142.77
West Virginia,2006,60,142.51
Kentucky,2006,61,139.71
Georgia Tech,2006,62,138.67
Stanford,2006,63,137.17
Southern Mississippi,2006,64,136.68
BYU,2006,65,128.22
Wake Forest,2006,66,122.34
Indiana,2006,67,122.15
New Mexico,2006,68,121.96
UTEP,2006,69,120.39
San Diego State,2006,70,119.38
Northwestern,2006,71,115.18
East Carolina,2006,72,115.08
UCF,2006,73,112.86
Colorado State,2006,74,112.11
Northern Illinois,2006,75,111.98
Fresno State,2006,76,111.54
Virginia,2006,77,111.11
Toledo,2006,78,109.58
Marshall,2006,79,108.78
Boise State,2006,80,106.05
Louisiana Tech,2006,81,104.59
Akron,2006,82,102.97
Houston,2006,83,101.62
Tulane,2006,84,100.71
Buffalo,2006,85,96.91
Ball State,2006,86,96.34
Miami (OH),2006,87,94.07
San José State,2006,88,93.62
Bowling Green,2006,89,93.28
Western Michigan,2006,90,93.25
Idaho,2006,91,92.85
Troy,2006,92,91.69
Connecticut,2006,93,91.46
Florida International,2006,94,90.73
Wyoming,2006,95,89.64
Rice,2006,96,89.39
UNLV,2006,97,88.98
Tulsa,2006,98,88.58
Nevada,2006,99,86.13
Memphis,2006,100,84.38
Ohio,2006,101,81.66
Temple,2006,102,77.53
Louisiana,2006,103,76.72
Louisiana Monroe,2006,104,69.77
SMU,2006,105,64.64
Arkansas State,2006,106,64.59
New Mexico State,2006,107,63.94
North Texas,2006,108,63.55
Cincinnati,2006,109,63.4
Central Michigan,2006,110,62.5
Middle Tennessee,2006,111,55.56
Eastern Michigan,2006,112,49.67
Kent State,2006,113,48.84
Hawai'i,2006,114,46.53
Air Force,2006,115,45.95
Utah State,2006,116,40.78
Army,2006,117,38.48
Florida Atlantic,2006,118,32.72
Navy,2006,119,32.36
Southern Illinois,2006,120,30.46
Alabama State,2006,122,6.67
Florida,2007,1,313.05
USC,2007,2,295.06
Texas,2007,3,293.1
Tennessee,2007,4,284.42
LSU,2007,5,282.25
Notre Dame,2007,6,274.05
South Carolina,2007,7,273.85
Georgia,2007,8,249.84
Auburn,2007,9,248.55
North Carolina,2007,10,244.08
Michigan,2007,11,242.81
Alabama,2007,12,241.78
Miami,2007,13,236.11
Oregon,2007,14,228.77
Georgia Tech,2007,15,225.49
Clemson,2007,16,221.47
Ole Miss,2007,17,221.24
Oklahoma,2007,18,220.6
Nebraska,2007,19,218.45
Florida State,2007,20,216.82
Pittsburgh,2007,21,216.08
Illinois,2007,22,212.85
California,2007,23,210.38
West Virginia,2007,24,210.32
Oklahoma State,2007,25,208.78
Virginia Tech,2007,26,208.21
Colorado,2007,27,207.66
Virginia,2007,28,207.49
Iowa,2007,29,199.85
Missouri,2007,30,199.83
Rutgers,2007,31,199.38
Wisconsin,2007,32,197.94
Maryland,2007,33,196.41
Mississippi State,2007,34,194.64
Kansas State,2007,35,189.4
Arkansas,2007,36,189.14
Arizona State,2007,37,187.91
Washington,2007,38,184.72
Penn State,2007,39,183.65
Oregon State,2007,40,177.75
Texas A&M,2007,41,171.74
Texas Tech,2007,42,170.43
BYU,2007,43,168.65
Boston College,2007,44,168.51
Syracuse,2007,45,168.09
NC State,2007,46,166.16
Northwestern,2007,47,165.66
Minnesota,2007,48,165.41
Louisville,2007,49,165.31
Kansas,2007,50,163.81
Stanford,2007,51,163.29
Washington State,2007,52,162.05
Michigan State,2007,53,160.17
Iowa State,2007,54,155.95
TCU,2007,55,155.69
South Florida,2007,56,154.98
UCF,2007,57,154.18
Southern Mississippi,2007,58,153.94
Arizona,2007,59,153.87
Connecticut,2007,60,152.51
Purdue,2007,61,151.99
Utah,2007,62,151.35
Boise State,2007,63,149.94
Marshall,2007,64,143.49
Hawai'i,2007,65,140.68
Houston,2007,66,137.41
Troy,2007,67,137.4
San Diego State,2007,68,135.97
Wake Forest,2007,69,133.78
Temple,2007,70,131.64
Fresno State,2007,71,129.21
Ohio State,2007,72,128.98
Baylor,2007,73,128.62
Akron,2007,74,128.55
Vanderbilt,2007,75,128.26
Miami (OH),2007,76,127.03
Duke,2007,77,126.41
Louisiana Tech,2007,78,126.35
Wyoming,2007,79,124.82
Indiana,2007,80,123.89
Colorado State,2007,81,123.4
Memphis,2007,82,121.04
Tulsa,2007,83,120.23
East Carolina,2007,84,118.48
SMU,2007,85,117.93
Toledo,2007,86,117.6
Cincinnati,2007,87,111.09
Ball State,2007,88,110.69
Rice,2007,89,109.97
UNLV,2007,90,107.99
UCLA,2007,91,106.93
North Texas,2007,92,105.48
Middle Tennessee,2007,93,105.47
San José State,2007,94,104.09
New Mexico,2007,95,103.98
Northern Illinois,2007,96,97.06
Kent State,2007,97,95.57
Florida International,2007,98,93.66
Nevada,2007,99,89.62
Idaho,2007,100,88.76
Western Michigan,2007,101,88.37
Tulane,2007,102,85.4
Louisiana,2007,103,83.02
New Mexico State,2007,104,82.22
UAB,2007,105,81.18
Central Michigan,2007,106,80.68
Utah State,2007,107,75.98
Arkansas State,2007,108,75.26
Ohio,2007,109,71.71
Louisiana Monroe,2007,110,69.54
Eastern Michigan,2007,111,69.38
Bowling Green,2007,112,66.74
Buffalo,2007,113,61.45
Air Force,2007,114,32.03
Kentucky,2007,115,24.42
Army,2007,116,15.3
Miami,2008,1,302.6
Notre Dame,2008,2,295.57
Alabama,2008,3,291.61
USC,2008,4,290.34
Florida,2008,5,286.27
Oklahoma,2008,6,284.83
Georgia,2008,7,281.95
Texas,2008,8,271.6
Clemson,2008,9,271.35
Ohio State,2008,10,271.03
Michigan,2008,11,261.55
Florida State,2008,12,259.98
LSU,2008,13,259.67
UCLA,2008,14,250.33
Colorado,2008,15,236.08
Texas A&M,2008,16,228.03
Arizona State,2008,17,225.65
Virginia Tech,2008,18,225.32
Washington,2008,19,225.25
Pittsburgh,2008,20,224.64
Auburn,2008,21,224.19
Illinois,2008,22,220.63
NC State,2008,23,218.2
Nebraska,2008,24,215.29
Arkansas,2008,25,214.9
Minnesota,2008,26,214.0
Arizona,2008,27,209.08
Missouri,2008,28,207.9
California,2008,29,205.43
North Carolina,2008,30,205.05
Ole Miss,2008,31,204.46
Oklahoma State,2008,32,204.03
Tennessee,2008,33,203.39
Oregon,2008,34,200.86
South Carolina,2008,35,198.87
Kansas State,2008,36,198.72
Wisconsin,2008,37,192.63
Boston College,2008,38,191.79
Southern Mississippi,2008,39,190.75
Penn State,2008,40,189.29
Maryland,2008,41,186.96
Michigan State,2008,42,186.02
Kansas,2008,43,184.11
Rutgers,2008,44,182.51
BYU,2008,45,176.15
Louisville,2008,46,175.97
Stanford,2008,47,175.6
Purdue,2008,48,171.26
West Virginia,2008,49,169.81
Iowa,2008,50,169.8
Georgia Tech,2008,51,168.44
Syracuse,2008,52,166.43
Mississippi State,2008,53,165.14
UCF,2008,54,162.5
Oregon State,2008,55,162.02
Virginia,2008,56,158.94
North Texas,2008,57,158.8
Baylor,2008,58,157.42
